סמל מוסד,שם מוסד,שם מנהל
110023,בית יעקב מטרסדורף,עטרה וולפא
110098,השחר,חוה מגדל
110106,אגרון גרשון,דינה יריב
110130,סאלד,מירב מלול יעקב
110155,בית הכרם,דורון מתן
110171,"תל""י גאולים ע""ש יצחק נבון",אני מלכה
110205,"מ""מ רחביה ע""ש דוד גו",אורית נבון
110270,לוריא,הילה ציפור
110312,ארגנטינה,גילי טלמור דוד
110320,גואטמלה,רננה קטבי
110445,טל חיים,יעקב מחפודה
110452,יהודה הלוי,חגית באבד
110486,עוזיאל,רמה עמליה מורנו
110585,מימון,אביתר שושן חורי
110619,א.ד.רוטשילד,שירה רבקה אקשטין
110726,מתתיהו,איילת רחמים
110734,הר טוב,ברכה ביטון גדנקן
110866,בית יעקב מרכז ירושלים,שרה ספראי
110932,"ת""ת לויכטר",אברהם בנדיקט
110957,בית יעקב בית ישראל,יהודית ורנר
110973,בית יעקב נתיב בתיה קארו,אסתר בן חיים
110981,בית יעקב הארי,גליקה חדוה זוננשין
111021,"ת""ת ירום משה",יהודה בלולו
111062,יפה נוף,לימור זמורה
111096,עין הרים,לילך זריהן
111112,זלמן ארן,ליזי עליזה אלמודאי אילוז
111120,פסגת זאב צפון,מירב כהן
111138,בית יעקב גבעת שאול,הדסה פוברסקי
111179,לוי אשכול,רחל ויצמן
111195,חברון בנות,אלמוג גמדני
111203,גבעת גונן,אמנון רבינוביץ רשף
111252,"ת""ת תורת אמת",מנחם מנדל הרשקוביץ
111260,"חב""ד בית חנה",רבקה בלויא
111278,מעלות דפנה יד המורה,סיגלית כהן
111294,חטיבה לגיל הצעיר,עינת סימן טוב
111310,"ת""ת המסורה",ישראל יצחק משה טרנובסקי
111328,כרמי יהודה,רענן יוסף גלמן
111344,הניסויי,עידית טבת
111351,יאנוש קורצאק,שלומית חוטה
111369,מולדת,תמר פוליטי
111385,חטיבה צעירה אורות עציון,מור ויקטוריה חבושה ביסון
111393,נועם בנות ק.משה,אורית ווייל
111450,"גוונים מ""מ",ענבל גונן
111500,גילה ממלכתי א,גלית אושפיץ-וויינפלד
111591,"ברנדט ממ""ד נוה יעקב",ורדית אבני
111633,בית יעקב נוה יעקב,פנינה וולפסון
111641,"ב""י הצפון",שרה מרים זוננפלד
111682,תלי בית וגן,איה סלחה מאיר
111690,"הרובע היהודי ממ""ד",גרמי אדם טננבאום
111708,נחלת בנימין בנים,שלום חורי
111716,שדי חמד,יסכה בן סימון
111724,בית חורון,חנה שימאנאוויטש
111831,פרנקל גבעת שפירא,זהר אליהו
111849,בית-אל בנות,מיכל צרום
111864,"ת""ת מורשה",משה בן הרוש
111872,מנשה אלישר,הדס קצב-שטויאר
111898,נוה עציון,שירה בן ישראל
111906,גילה ממלכתי ב,חגית כהן
111948,"ת""ת יקירי ירושלים",אליהו סודרי
111963,נוה צוף,צבי פייל
112003,נועם בנים ק.משה,אורית דהן
112037,אלון,דרור איוניר
112052,כפר אדומים,עדי יגל
112078,זאב זבוטינסקי,צהלה ארגמן
112094,יהושע גן,שי חלימה
112102,"חב""ד לבנים ביתר עלית",שלמה חנניה ממן
112110,פסגות,יונה שפי
112128,אהל שילה בנות,תמר סלע
112136,תלפיות מזרח ממלכתי ב,עופרה משה
112151,מצפה יריחו,יוסף יהושע יחזק פלהימר
112169,נות ישראל,יוכבד חזוני
112177,תומר רחל,יעל סרי לוי
112185,אריאל,גניפר דלשאד
112193,"ניל""י",ליאת לוי
112201,רמות ממלכתי ג,שלומית סולטנה כהן
112219,"רמות ממ""ד ב'",אורלי לרר
112227,אפרתה,גילה סדון
112235,"ת""ת וב""י מעלה עמוס",רות שושן
112243,אקדמיה ע ש רובין,אילנה אוריצקי
112250,עשה חייל,תרזה שפרה פרנקל
112284,"חמ""ד תירוש",ברוריה מנדל
112292,בית מלכה י-ם,מרים ברינדל קרניאל
112300,בית יעקב רמות פולין,פרומה לאה הלפרין
112326,אוהל חסיה טלזסטון,רוחמה פרידמן
112342,קהילתי השלום,דנה צבטלר
112359,"גילה ממלכתי תל""י",ליאת אלהרר כהן
112367,מגילות,אסתי זכריה
112391,"הר נוף ממ""ד בנים",בנימין אפרגן
112433,בית יעקב הר נוף,אסתר רבינוביץ
112482,פסגת זאב ממלכתי א,אילנית גבאי
112490,אתרוג בנים,אריה יצחק וולף
112516,מבוא חורון,ערן מרגלית
112524,סדיגורא,רפאל אלבוים
112540,"ב""י עזרת תורה",צפורה קאופמן
112565,רמת מוריה,שלומית דבורה ראונר
112573,"ממ""ד פסגת דוד",רחל אביר
112599,גפנים,רעות חן
112607,תקוע,ידידיה סלע
112615,אמרי חיים,משה אהרן וינברגר
112623,בעלזא,עזריאל ישעיה זיכרמן
112656,אהל שמעון-כתב סופר,יואל אלחנן קלמן
112664,הדר ציון,נתן אריה לוי
112680,אמת ואמונה-סלונים,אברהם לוריא
112706,כנסת יהודה,אברהם בצלאל יעקבזון
112714,סוכת דוד,מאיר אלחדד
112722,דרכי אבות צאנז,נחמן אייזנבאך
112748,חוות דעת,בן ציון קוגלר
112755,באבוב,יצחק משולם פרוכטהנדלר
112763,חסדי אבות,מנחם שלמה בקרמן
112789,בית ברכה,דינה גרליץ
112797,בנות ויזניץ,מרים הירשמן
112805,תריג הרי יהודה,יצחק לובל
112813,רמת מודיעין,ברוריה-ברינדל לדרר
112896,"למען אחי-ת""ת שערי תורה",אפרים רזניק
112904,תפארת החיים מעורב,דניאל עוקשי
112953,"אהבת ישראל (חרד""ל)",בנימין נתאי
112995,"ת""ת חיי עולם",מנחם שמעון שלמה אריה ברנשטיין
113001,נועם בנות רמות,אסתר שקלים
113043,בית יעקב אוהל רחל,מיכל קינד
113076,"ביה""ס ממ""ד דרור",שרית לנדאו
113084,הר-אדר,מירב ביטון
113126,המסלה,מאיר אסולין
113134,בית יעקב אהבת חסד,רייצה גולדה שטיין
113142,"ת""ת בית אשר",ישראל מרדכי אייזנבאך
113159,צלילי נעם,פנינה חנניה
113175,"ת""ת חברון",אריאל שרון איפרגן
113183,גדולת יעקב,יוסף גאריביאן
113191,"ת""ת מאורי צ'רנוביל",ישראל יהודה קרישבסקי
113217,הר נוף ממד בנות,ברוריה בס
113258,ממלכתי ג',שרון אלמליח
113274,תת חדר חדש דרך תבונה,נתנאל שבתי קוסבר
113290,"ת""ת מאור ישראל",אשר חזיזא
113308,מעלה התורה בנים,אברהם מיארה
113324,בית-אל בנים,ירון גיאת
113332,"ב""י חסידי ירושלים",חנה רובינשטיין
113365,"ת""ת וב""י חשמונאים",ברוך שלום כהן הלפרין
113399,מקור חיים,אורית חושינסקי
113449,השחר,אביתר כהן
113472,"תל""י פסגות",שני שטיין
113480,כוכב השחר בנות,רונית כהן
113498,"ת""ת וב""י ""אורות"" נפש אורל",דניאל מרזל
113514,בית מרגלית,יפה בראל
113522,הרב מאיר עוזיאל,אוריאל שמעון פדידה
113530,מנחם בגין,בת שבע עבוש
113548,"ת""ת מוריה",אהרון יעקב רוני פרידמן
113563,נועם בנים רמות,מרים כהן
113589,ממלכתי משואה,יפעת ספיר
113597,נועם בנים פסגת זאב,רחל אברהמי
113639,"מ""מ ע""ש יצחק נבון",עינבל מור
113696,חן עפרה,אודליה אלקסלסי
113738,"ת""ת תורה ברמה",שלמה ברזקה
113746,הצנע לכת,צירל כהן
113753,"ממ""ד צמח השדה",מרים עזיזי
113761,"ב""י דרך החיים",פרומה חסידה קויפמן
113787,כוכב יעקב בנות,דן אפרים בירנבאום
113803,"ת""ת אחיעזר",חיים אוירבך-אור
113811,אופק,נעמה מזרחי
113829,"צבר ממ""ד",שרה קופר
113852,תת רוממה ירושלים,ציון גז
113860,"ת""ת דברות משה",אריה פוקסברומר
113886,תת חפץ חיים,דוד חייט
113902,"מ""מ צמח השדה",דנה לוי
113928,"ת""ת נטעי מאיר",ישראל פריד
113944,אורה ברמה (בנות),לאה גלבוע
113969,קרית ארבע בנים,שלמה שמעון לוינגר
114009,בנות באיאן רוזין,צפורה דבורה פיירשטיין
114033,מנחת,אביבית ליזה שור זקן
114058,אריאל,שולמית גיטל פרוינד
114066,פסגת זאב מערב,איילת פינצי תומאס
114074,פסגת זאב מזרח א,מירב בלדב
114082,דולב,חגית אברגל
114116,"ת""ת אבני צדק אבני של",שלמה חיים לוין
114124,"ת""ת קהילת קמיניץ",מאיר מנחם נוסבוים
114132,בית חיה לבנות,שרה ריבה האגר
114140,"ת""ת פאר יוסף",רחמים עצמון רם
114165,תורני אורות בנים,שלום צבי קרל
114173,אורות עציון בנים,משה גוטליב
114181,מגדים,תמר חדאד
114199,הדרור,יעל אוברגוט
114215,וולדורף אדם,אלינור אברהם
114249,אורות עציון בנות,דבורה פרידמן
114306,חניכי הישיבות,דוד בר ששת
114314,"ב""י אוהלי ספר",מרים פוזן
114322,"ת""ת אהלי ספר",יאיר גינזבורג
114330,תורת עולם-ציון אברהם,אהרן יעקב שטיינר
114348,"ב""י מנוחה ונחלה",מרים רעכל אויסלנדר
114389,על איזורי קשת,אילת חגבי
114397,חיי שרה בנות,עופרה סבאן
115527,עידנים,נטע מכתאר
115550,דורות,שולמית גנון
115592,נועם בנות פסגת זאב,צביה הרנץ
115600,ארץ הצבר,מירב הילה זידמן
115642,היובל,שרית רושה גביזון
115675,צלילים,יעל אביקסיס
115766,"ת""ת סנהדרין",ראובן זאב פודולסקי
115816,"ת""ת הדרת ירושלים",שלום צבי וולנסקי
115824,"נר לרחל ובניה ע""ה",גבריאל יוסף זילברמן
115998,נתיב זבולון,דוד אפטר
116012,אופק,הדס רפאלי
116129,מרכז תורני בנות ציון,משה נתניאן
117002,אל-מוטראן,ריצ'רד זנאנירי
117010,"ביה""ס אל-פריר",דאוד כסאברי
118018,אבו גוש,חולוד ג'בר
118034,יסודי עין נקובא,גאדה קזל
118042,אום טובא,וליד אבו טיר
118067,אחמד סאמח אלחלדי,ווסים רישק
118075,בית חנינה לבנים,רידא אבו דלו
118083,אלאופק יסודי לבנות,חנאן אבו דלו
118091,בית צפאפא יסודי,חאתם סלמאן
118125,טור מכין לבנים,כאלד ראשיד
118133,טור מכין לבנות,מנאל פתיאני
118158,איבן אל-היית'ם,אסאמה סביטאני
118166,סואחרה לבנות,רנא שאער מנסור
118174,סלואן יסודי מעורב,גיהאד אבו ח'לף
118182,סלואן יסודי לבנות,חסיבה דולה
118190,סלואן מכין לבנים,סאמר גול
118208,סלואן מכין לבנות,פאטמה פתיחה
118216,עיסאויה לבנים,עבד אל פתאח זידאן
118224,עיסאויה לבנות,אפנאן עוויס
118240,צור באהר מכין,עארף אבו חאמד
118273,שעפאט לבנים א,מוחמד אמארה
118281,שעפט לבנות א,סוזאן כטיב
118299,אלתורי לבנות,מהא סלמן
118307,עמריה,נפיסה סעידה
118331,מולויה לבנות,מוראד חמודה
118349,צלעה,אדיב נצרה
118356,סואחרה י,אוסאמה סרחי
118364,איברהמיה,הנאדי הדמי
120014,נוף הרים,מעין מוראד
120030,"אלי""ן",יעקב בן חמו
120055,בית חנוך עוורים מד,מנוחה טרופ
120063,בני ברית,ענת ליפשיץ
120071,"בן יהודה מ""מ",שושנה אור
120105,"בי""ח הדסה - מ. ילדים",מירה אסולין
120113,בית ספר תיכון מקצועי,רות פן בן אריה
120121,מיוחד כיח לחרשים,ג'יהאן סרחאן
120154,מיוחד ניצנים מד,תמירה שטרן
120212,בית רחל שטראוס,רחל אלבז
120238,קרית יערים,שירי אמיר
120287,"אילנות מ""מ",שרונה מאיר
120295,ברושים,תמר חיה רלבג
120303,ארזים,ראובן בבאין
120329,מחלקת ילדים,אנאל אסתר לילי מארק
120428,המעין,יעל אביטל
120436,הטנה,שרון כהן שחר
120444,תדהר,בת ציון אור
120477,מגן אברהם,שושנה שפירא
120485,אוצר ירושלים שיח סוד,עליזה חודר
120493,"דקלים ממ""ד",יוחאי יושעי
120527,אלונים,הילה גלבוע
120543,פוירשטיין,ברוריה עמיחי
120592,רעים,-
124024,קרן אור,אורנית שטיין
124032,נוה שלום-ואחד אל-סלם,נעמה אבו דאלו
124040,"ת""ת תורה לשמה",אברהם טולידאנו
124057,בית יעקב מגן אבות,דבורה סיימון
124099,"ת""ת משנת יהודה",דן אריה
124123,"ת""ת מאיר עיניים",אפרים מוסאי
124131,"ת""ת אהבת משה",נסים כלפא
124149,"ב""י רמת שלמה",אילה רוטנברג
124156,תלמוד תורה תורת העמק,מיכאל אורי סופר
124206,בנות ובית יעקב ביתר,איטה ליכטנשטיין
124222,אהלי תפארת משה,חיים יוסף וינר
128017,אלנור מעון יום ים,סנא מוסא
128033,אל אמל,סאמר ג'אעוני
128041,בכריה אלוין,ערפאת ערפאת
131029,מעלה התורה בנות,אילת כהן
131037,ב.חינוך לבנות באידיש,רוזי רייזל בירנבאום
131052,תורני אורות בנות,יוסף פרקש
131060,"ב""י חסידי רמות",רחל מרים ויצמן
131078,"ת""ת נעימות התורה",אליהו זיידל
131110,"ת""ת יגדיל תורה",יוסף שלום גרמה
131128,תלמוד תורה שערי דעת,מרדכי שמואל קולר
131169,שירת דבורה,דבורה קנר
131177,"ת""ת חכמת שלמה",אברהם שלום פינזל
131185,ביס לבנות אורה ושמחה,נעימה אריה
131193,עצת אמת,יצחק קאפ
131201,אלוני ממרא,שלומית גורביץ
131219,משמרת מאיר,טובה גיטל אייזנבך
131227,"ב""י בית מרגלית",טובה רוחמה העברי
131292,שירת חנן,מרים בורוכוב
131300,אסיף,דנה לובינסקי
131318,"ע""ש אילן רמון",נעמה דהן
132019,עלה ירושלים,רחל פישהיימר
132241,הבן יקיר לי,דוד חי מולא
132282,"ב""י עטרת שיח",פסיה לודמיר
132290,נוות יעקב,רבקה המר
134601,"ת""ת תורת הבית",יצחק שורץ
134676,"ת""ת נחמת ציון",נתן חנניה
134692,חמדת התורה,דב קוק
134700,"ת""ת אור חדש הר-נוף",ארנון יוגדיוף
136010,"ת""ת חניכי הישיבות",פנחס שלמה אביטן
136259,צור הדסה,עינת עובדיה
138602,בית יעקב קרית ספר,נחמה אסתר רבינוביץ
140012,אולפנא תורנית חורב,עודד עוזיאל מיזליש
140038,עירוני דתי רוטשילד,שולמית אייזקס
140046,עירוני ג',אילת גולומב פלנר
140053,אקדמיה למוסיקה,אילנה אוריצקי
140061,תכון ליד האוניברסיטה,ארז הקר
140079,הגמנסיה העברית,עופר טס
140087,רנה קסין דרכא,שגיא כהן
140095,חוות הנוער הציוני,ליליה רייכמן
140103,"תיכון ע""ש בויאר",דפנה מנשה-ברוך
140129,קרית נוער ירושלים,יוסף כהן
140137,ישיבת נתיב מאיר,משה מאיר וייס
140145,ישיבת חורב,יצחק דור
140160,ישיבת ים לצעירים,דוד שמחון
140186,"תורני ע""ש פ. הימלפרב",שלמה דנינו
140202,עתיד שחר בית שמש,אלינור ביטון
140236,תורני נסויי בנות פלך,יעל-סופי פפר
140251,ישיבת תיכון קול מבשר,יעקב יוסף אזולאי
140269,מקיף דנמרק,דורית יוסף
140277,מדרשיית עמליה,יעל פרגון
140434,ישיבת תורת אמת,ראובן בורושנסקי
140442,ישיבת אור ברוך,משה ברדוגו
140491,אולפנת צביה ירושלים,עירית הלוי
140525,אולפנא ירושלים,יוכבד לאגוסקער
140541,ישיבת עטרת ישראל,מאיר טוביה פולק
140574,ישיבת בית מרדכי,אברהם דייטש
140582,ישיבת אוהל מועד,דוד כהן
140608,מכון הברכה,חיים יוסף גוטשטיין
140632,מכון אהרון וישראל,אהרן פרידמן
140665,אולפנא לבנות,שילה דגנית הלוי
140673,ישיבת חסידי בעלז,יוסף גרינוולד
140681,ישיבת יקירי ירושלים,יוסף שר שלום כהן
140715,תיכון בית יעקב,יוכבד צפורה פרצוביץ
140723,"מקיף ע""ש זיו",יורם חיים
140731,מקיף גילה,אייל רייכמן
140749,ישיבת תפארת ישראל,נחום מרדכי טירהויז
140764,ישיבת נוה שמואל,אבישי נתן מילנר
140780,ישיבת כוכב מיעקב,יחיאל נתן שניאורסון
140798,ישיבת אוהל שמעון,בנימין סופר
140806,תיכון לאומנויות,תומר בליטי דגן
140814,ישיבת אור אלחנן,מנחם מנדל רקובסקי
140822,בית מלכה,פייגי אוסטרליץ
140848,ניצני עוז,אליצור עזרן
140855,"חט""ב מבשרת",גליה שניידר
140863,דקל - וילנאי,דינה זייצב
140871,תיכון גבעת גונן,אוהד הופמן
140889,"חט""ב בנים קרית ארבע",אבינועם טוביה הורוביץ
140913,נוה חנה,רוחמה גבל רדמן
140921,ישיבת בית אברהם,שלמה חיים וינברג
140939,"ישיבת בנ""ע מטה בנימין",נסים ניצן ימין
140947,ישיבת מעלות התורה,שלום משה אשר וסליובסקי
140954,ישיבת מערבא,חיים ברוך חייט
140962,עירוני מסורתי,יאיר אלברטון
140970,אולפנא עופרה,אביה זאב ששר
141002,"חט""ב יצחק רבין",מזל רחל שמש
141010,חטב מכללת אורט גבעת רם ירושלים,מיכל דלאל
141028,ישיבת מקור חיים,גילעד רוזנברג
141044,"תיכון ע""ש יעקובזון",ישראל מאיר ברלין
141069,תפארת משה בצלאל,גדליה סבינר
141093,ישיבת בית דוד חברון גבעת מרדכי,שלמה קרלנשטיין
141101,ישיבת נתיבות יוסף,יהונתן דמרי
141119,נוות ישראל,דרורית בן נתן
141135,ישיבת שפת אמת,יצחק מאיר טאומן
141143,ישיבת שאול ומרי טויל,אהרן שם-טוב
141168,תורני לבנות ב.שולמית,אמיתי יצחק שחור
141176,אולפנת צביה מ. אדומים,שלמה נריה ירושלים
141192,ישיבת אוהל שמחה,משה צויבל
141200,ישיבה לצעירים,ראובן תיק
141234,ישיבה תורה אור,סימור שיינברג
141242,ישיבת מגדל תורה,יעקב יצחק רוזנטל
141267,ישיבת קניני התורה,יעקב כהן
141291,ישיבת אהבת חיים,אליהו-שמואל ניסנהולץ
141309,עירוני פסגת זאב,סוניה רפאלי
141333,מ. חינוכי למצטיינות,דניאל ויצמן
141358,ישיבת מעלה חבר,עמיחי חזן
141390,אולפנא ת. לאומנויות,הדס גודמן
141432,בית יעקב דרכי רחל,יחיאל מנדלזון
141457,ישיבת באר אברהם,שלמה חיים וינברג
141481,ישיבת באר התורה,יוסף קריינדלר
141499,אור תורה סטון לבנים,יובל פרזון
141523,ישיבת באור שמואל,נחשון אליעזר שילר
141549,אור תורה סטון לבנות,חנה עסיס
141572,ישיבת משכן ציון,יוסף חיים אבא שאול
141580,ישיבת דרך התורה,צבי מיכאל גרוס
141606,ישיבת משכן שלמה,אברהם דה פרוידיגר
141614,ישיבת אמרי נועם,צבי קאהן
141630,ישיבת זהר התורה,דוד אוזן
141689,בית יעקב,אהרן פוירשטין
141713,תוספות יום-טוב,אברהם גוטליב
141739,ישיבת בני צבי בית אל,שמואל אביגדור הולשטיין
141754,ישיבה תיכ' תורה ומדע,רפאל עמיחי בובליל
141762,ירים משה,אהליאב נדף
141796,ישיבת מעין התלמוד,מרדכי דב קרשינסקי
141853,מעלות בית יעקב,אריה רוב
141861,בי סמינר רמות שמסיאב,יסמינה שמילה
141895,בנות ויזניץ,אסתר לדרמן
141911,דמשק אליעזר ויזניץ,משה גשטטנר
141929,בית חוה,הניה אקער
141978,אנקורי,בועז עילם
142018,ישיבת נתיבות יעקב,מרדכי דרמר
142034,תיכון בית יעקב,אסתר רחל וינגרטן
142075,דחסידי גור,דינה כהן
142083,חוות דעת,בן ציון קוגלר
142158,אדרת אליהו,ירמיהו זילברמן
142166,אולפנת לבונה,נורית בן זמרה
142174,"ישיבת בנ""ע אורות יהודה",אמיר סנדלר
142190,בית יעקב עלי באר,בן ציון קוק
142216,אמרי בינה,יוסף חיים תייר
142232,ישיבת תומכי תמימים,מרדכי מישולובין
142265,"סוסיא-ישיבת בני""ע",נעם יצחק פרל
142281,"ישיבת בנ""ע כינור דוד",מרדכי יעקב הרשקוף
142315,תפארת לוי,משה הלוי
142331,ישיבת זכרון אליעזר,אברהם ברוך אבא רקובסקי
142372,ישיבת אורייתא תודה ודעת,ישראל אסייג
142398,ניצנים,ענבר מנשה
142406,דתי מיצד,יוסף זילברמן
142646,"ת""ת הדר יוסף",שי בן שלום
142729,"ת""ת במסילה נעלה",יצחק שלמה אדרי
142935,אורחות איש,אביעזר גליקסברג
143164,מוסדות טשכנוב,מנחם שלמה בקרמן
143404,אהל שילה בנים,רפאל ממן
143883,"ת""ת גירסת ישראל",יוסף פומרנץ
144071,עטרת התורה,אהרן יוסף לוי
144097,המרכז הישראלי למצוינות בחינוך,דן פסלר
144147,ישיבת זרע יצחק,חיים צבי גרין
144162,ישיבת תפארת התלמוד,ברכיהו שינקר
144196,המדרשה החסידית,משה מלמוד
144212,ישיבה תיכונית,אבינועם טוביה הורוביץ
144220,תורני נסויי הרטמן,שאול דוד
144238,מכללת אבראהימיה,אמין באשה
144246,ישיבת מעלות חיים,אהרן פרנק איזנר
144261,ישיבת חיי משה,בנימין בייניש קאהן-מינץ
144287,"ת""ת נתיבות שלמה",יהודה אריה לייב דלבקוביץ
144329,תיכון מכבים רעות,רוני אהרון פולט
144337,אולפנת רעיה,פייר חיים סולטן
144360,ישיבת מאור אליהו,משה דב מנדלסון
144410,ישיבת ישמח משה,יקותיאל מיכאל אלבז
144428,ישיבת צביה מ.אדומים,יוסף מנחם פרנקל
144501,תיכון הראל,ליאת שגב
144568,נעורים,מוריה טובה כובשי
144592,קדמה ירושלים,מיכל חדאד
144600,ישיבה שעלי תורה,חיים זאב אדלר
144626,תבל גבעה צרפתית,נחמה נשי נפתלי
144675,"ע""ש יצחק רבין עי""ס",רבקה ריקי נגרי
144683,עירוני א',דביר שלומי
